Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
bgonzalez@axiom.com,TRUE,12/21/2018,01/05/2019,Economy,101,DAL-PHX,69,Barry Gonzalez
scartwright@axiom.com,FALSE,11/28/2018,01/02/2019,Economy,93,DAL-LAS,714,Steven Cartwright
mengle@axiom.com,FALSE,8/31/2018,01/02/2019,First Class,282,DAL-HOU,514,Max Engle
beplett@axiom.com,FALSE,11/23/2018,01/04/2019,Business,70,DAL-SEA,89,Bill Eplett
smatthias@axiom.com,FALSE,11/21/2018,01/01/2019,Economy,109,DAL-GRR,666,Sally Matthias
mdominguez@axiom.com,FALSE,11/09/2018,01/02/2019,Business,93,DAL-AUS,523,Michael Dominguez
mengle@axiom.com,FALSE,12/19/2018,01/02/2019,Economy,148,DAL-HOU,514,Max Engle
mdominguez@axiom.com,FALSE,11/25/2018,01/02/2019,Business,174,DAL-AUS,523,Michael Dominguez
beplett@axiom.com,FALSE,12/03/2018,01/04/2019,Economy,74,DAL-CLE,89,Bill Eplett
klampkin@axiom.com,FALSE,5/20/2019,9/14/2019,Economy,132,DAL-PHX,436,Kelly Lampkin
cmitchell@axiom.com,FALSE,12/05/2019,12/29/2019,First Class,269,DAL-OKC,176,Corinna Mitchell
kdana@axiom.com,TRUE,12/03/2019,12/14/2019,Economy,107,DAL-PHX,440,Ken Dana
cdarley@axiom.com,FALSE,8/16/2019,12/03/2019,Economy,78,DAL-MDW,131,Carol Darley
arussell@axiom.com,FALSE,10/04/2019,10/16/2019,Economy,120,DAL-AUS,23,Alex Russell
jkimmel@axiom.com,FALSE,11/14/2019,11/23/2019,Economy,97,DAL-SLC,357,Jay Kimmel
knguyen@axiom.com,TRUE,09/01/2019,10/01/2019,Economy,83,DAL-OKC,429,Kean Nguyen
agayman@axiom.com,FALSE,08/05/2019,8/31/2019,Business,102,DAL-SLC,45,Anna Gayman
kmeade@axiom.com,FALSE,9/18/2019,12/12/2019,Business,80,DAL-AUS,414,Kalyca Meade
jkriz@axiom.com,FALSE,10/31/2019,11/25/2019,Economy,94,DAL-HOU,375,Jim Kriz
ashonely@axiom.com,FALSE,12/30/2018,1/27/2019,Economy,104,DAL-MDW,16,Alan Shonely
nhansen@axiom.com,FALSE,8/17/2019,10/26/2019,Economy,100,DAL-OKC,573,Nicole Hansen
pfuller@axiom.com,FALSE,8/19/2019,09/12/2019,Economy,98,DAL-OKC,607,Peter Fuller
cschnelling@axiom.com,FALSE,6/30/2019,7/26/2019,Business,139,DAL-OKC,165,Cindy Schnelling
mkennedy@axiom.com,FALSE,7/29/2019,8/22/2019,Economy,88,DAL-OKC,543,Mike Kennedy
jwest,FALSE,09/07/2019,9/29/2019,Economy,157,DAL-OKC,404,Julia West
dordway,FALSE,12/03/2018,1/25/2019,Economy,126,DAL-HOU,228,Denny Ordway
jgalang@axiom.com,FALSE,4/13/2019,6/21/2019,Economy,73,DAL-GRR,343,James Galang
phirasaki@axiom.com,TRUE,9/22/2019,10/08/2019,First Class,271,DAL-HOU,585,Patricia Hirasaki
arawles@axiom.com,FALSE,8/30/2019,10/05/2019,Business,163,DAL-AMA,55,Anthony Rawles
sfoster@axiom.com,FALSE,09/12/2019,10/16/2019,Economy,80,DAL-LAS,679,Sarah Foster
dmiller@axiom.com,TRUE,09/09/2019,9/25/2019,Economy,84,DAL-MDW,234,Don Miller
abergman@axiom.com,FALSE,06/08/2019,07/04/2019,Economy,140,DAL-GRR,1,Aaron Bergman
dphilippe@axiom.com,FALSE,11/11/2019,12/10/2019,Economy,155,DAL-OKC,210,David Philippe
bderr@axiom.com,TRUE,1/22/2019,2/28/2019,Economy,69,DAL-LAS,109,Brian Derr
dmartin@axiom.com,FALSE,11/28/2019,12/24/2019,Economy,113,DAL-ATL,200,Darrin Martin
rhaberlin@axiom.com,TRUE,02/06/2019,04/11/2019,Business,78,DAL-SEA,639,Rob Haberlin
gkelly@axiom.com,FALSE,11/13/2019,12/14/2019,Economy,130,DAL-LGA,307,Grace Kelly
hredmond@axiom.com,FALSE,10/11/2019,10/24/2019,Business,119,DAL-AUS,317,Hallie Redmond
scooley@axiom.com,FALSE,10/26/2019,11/11/2019,Economy,68,DAL-SEA,704,Sonia Cooley
rskaria@axiom.com,TRUE,3/24/2019,6/16/2019,Business,137,DAL-PHX,657,Roy Skaria
amcfarland@axiom.com,FALSE,12/07/2019,12/29/2019,Economy,120,DAL-HOU,47,Anne McFarland
lwillingham@axiom.com,FALSE,11/15/2019,12/14/2019,Economy,168,DAL-SLC,474,Liz Willingham
jmartin@axiom.com,FALSE,08/12/2019,09/05/2019,Economy,153,DAL-ELP,349,Janet Martin
cmelton@axiom.com,FALSE,08/09/2019,9/17/2019,Economy,64,DAL-HOU,145,Charlotte Melton
cludtke@axiom.com,FALSE,08/07/2019,09/06/2019,First Class,293,DAL-ATL,170,Clay Ludtke
